#file number,time from start,flux,flux error
18,0.000000,34043,159
26,4.717183,41700,169
27,5.304867,43370,171
29,6.481267,47903,175
31,7.657917,48058,176
32,8.374717,46472,174
33,8.953833,47190,174
34,9.532950,48333,176
35,10.113567,47664,175
36,10.692900,47693,175
37,11.278267,47403,175
40,13.041100,48144,175
41,13.630833,48576,176
42,14.220950,49176,176
43,14.811250,50160,177
44,15.445800,49996,177
45,16.025200,50390,178
48,17.774383,50338,177
50,18.953333,50683,178
51,19.541400,49996,177
52,20.130183,49046,176
53,20.720550,48560,175
56,22.489250,47668,175
57,23.078767,48390,175
58,23.757817,49499,176
59,24.337000,50693,177
60,24.916033,50810,178
63,26.655167,52043,179
64,27.236367,52564,180
65,27.819333,52535,180
67,28.982117,52457,179
68,29.566633,53245,180
69,30.150083,53164,181
70,30.732500,52780,180
71,31.314150,53482,181
72,31.898417,52751,180
73,32.487433,52696,180
74,33.076467,50969,178
75,33.664700,50167,177
76,34.253650,49912,176
77,34.843150,51325,178
79,36.020900,52619,180
81,37.198883,53013,180
82,37.784050,52832,180
83,38.365950,52834,180
84,38.955933,52143,179
85,39.542033,51838,179
86,40.126017,52392,180
87,40.707433,52181,179
88,41.293750,52730,180
89,41.881367,52648,180
90,42.469517,53051,180
91,43.057667,53556,181
92,43.642167,53453,181
93,44.232383,53289,180
94,44.822100,53648,181
95,45.411817,52897,180
97,46.591483,53281,180
98,47.174150,53376,180
99,47.759967,53820,181
100,48.350983,53819,181
101,48.941983,53489,182
103,50.121133,53344,183
104,50.709817,53724,182
105,51.299517,51383,180
106,51.889500,49026,177
107,52.478683,53722,182
109,53.652617,53545,182
110,54.241017,52924,182
112,55.404817,48131,176
113,55.992967,52210,180
114,56.582667,51095,179
115,57.171583,50969,179
117,58.349433,51908,180
118,58.938100,51500,179
119,59.525733,52682,181
120,60.149017,51923,180
121,60.728300,52674,181
122,61.307600,51321,179
124,62.480767,50769,179
125,63.070200,47707,175
126,63.652367,45929,173
141,72.457867,34926,160
144,74.226467,41488,168
145,74.876317,49236,176
146,75.455350,50513,178
147,76.087750,49911,177
148,76.718333,49203,176
149,77.354383,50337,177
150,77.933417,51291,178
151,78.570517,51284,178
153,79.740817,51688,179
154,80.326617,52954,180
155,80.915283,53084,180
156,81.500817,50002,176
157,82.088450,52542,179
158,82.677633,53498,181
159,83.267083,49659,176
161,84.445200,47619,174
176,93.253300,41732,167
177,93.842217,45023,170
178,94.430367,49027,175
179,95.019283,49696,176
180,95.607950,52952,179
181,96.198450,53248,180
182,96.788933,53581,180
183,97.378667,53598,180
184,97.969400,53030,179
186,99.150900,53545,180
187,99.741917,52888,179
188,100.331633,53291,180
189,100.922117,52597,179
190,101.511567,51615,178
193,103.276283,46600,172
194,103.858950,47183,172
196,105.023800,50450,176
197,105.607783,51929,178
199,106.786683,53099,180
200,107.368567,54095,181
201,107.956967,54302,181
202,108.546417,54382,181
203,109.136650,54391,181
205,110.308000,54175,181
206,110.897700,53573,180
207,111.486383,53956,180
208,112.067483,53969,180
210,113.238050,53933,180
212,114.408617,52606,179
213,114.996483,52563,178
214,115.587233,52248,178
216,116.762217,51361,177
217,117.350900,51893,178
218,117.942167,52258,178
219,118.530067,52419,178
220,119.118733,52085,178
221,119.708433,50951,176
222,120.298133,49877,175
223,120.882900,50107,175
224,121.471550,51426,177
225,122.061017,52031,177
227,123.238600,32134,147
229,124.416700,52160,178
231,125.587517,51774,177
232,126.172017,49083,174
235,127.939317,47598,172
238,129.705850,51068,176
240,130.885783,51242,177
241,131.475500,50128,175
242,132.066250,49082,174
243,132.656733,47778,173
244,133.246433,47956,173
246,134.420917,43318,167
249,136.186900,38101,161
273,150.333867,20407,138
315,175.068717,34518,159
344,192.136400,24305,143
350,195.672817,38365,163
351,196.263317,38746,163
355,198.621633,40904,166
356,199.211350,39397,165
357,199.801317,40158,165
364,203.929300,45070,171
366,205.100667,41500,167
