#file number,time from start,flux,flux error
18,0.000000,20616,136
26,4.717183,25746,143
27,5.304867,26251,143
29,6.481267,29435,147
31,7.657917,29375,147
32,8.374717,28590,146
33,8.953833,28951,146
34,9.532950,30025,147
35,10.113567,29343,146
36,10.692900,29747,147
37,11.278267,28876,146
40,13.041100,29555,146
41,13.630833,29874,147
42,14.220950,30052,147
43,14.811250,30725,148
44,15.445800,31019,148
45,16.025200,31052,148
48,17.774383,31162,148
50,18.953333,30901,148
51,19.541400,30709,148
52,20.130183,29905,147
53,20.720550,30215,147
56,22.489250,29045,146
57,23.078767,29897,146
58,23.757817,30602,147
59,24.337000,30930,147
60,24.916033,30985,147
63,26.655167,31755,148
64,27.236367,32490,149
65,27.819333,32696,150
67,28.982117,32836,150
68,29.566633,32413,149
69,30.150083,32976,150
70,30.732500,32996,150
71,31.314150,33048,150
72,31.898417,32514,149
73,32.487433,32393,149
74,33.076467,31611,148
75,33.664700,31207,148
76,34.253650,31179,148
77,34.843150,31819,148
79,36.020900,32401,149
81,37.198883,32679,150
82,37.784050,32474,149
83,38.365950,32483,149
84,38.955933,32599,149
85,39.542033,32322,149
86,40.126017,32876,150
87,40.707433,32393,149
88,41.293750,32452,149
89,41.881367,32250,149
90,42.469517,32716,150
91,43.057667,32790,150
92,43.642167,32722,149
93,44.232383,33225,150
94,44.822100,32960,149
95,45.411817,32805,149
97,46.591483,33227,150
98,47.174150,33315,150
99,47.759967,33102,150
100,48.350983,33215,150
101,48.941983,32987,152
103,50.121133,33168,153
104,50.709817,33084,152
105,51.299517,31582,150
106,51.889500,30310,149
107,52.478683,33285,152
109,53.652617,33188,152
110,54.241017,32865,151
112,55.404817,29927,148
113,55.992967,32477,150
114,56.582667,32028,150
115,57.171583,31543,149
117,58.349433,32068,150
118,58.938100,31622,149
119,59.525733,32537,151
120,60.149017,32158,150
121,60.728300,32510,150
122,61.307600,31431,149
124,62.480767,31115,149
125,63.070200,29226,147
126,63.652367,28651,146
141,72.457867,21089,137
144,74.226467,24766,141
145,74.876317,30616,148
146,75.455350,31175,148
147,76.087750,30528,147
148,76.718333,30485,147
149,77.354383,30736,147
150,77.933417,31410,148
151,78.570517,31496,148
153,79.740817,31777,148
154,80.326617,32903,150
155,80.915283,32771,150
156,81.500817,30294,145
157,82.088450,32438,149
158,82.677633,33171,150
159,83.267083,30727,147
161,84.445200,29425,146
176,93.253300,25207,140
177,93.842217,27896,143
178,94.430367,30301,146
179,95.019283,30471,146
180,95.607950,32318,148
181,96.198450,32524,148
182,96.788933,32741,148
183,97.378667,32977,149
184,97.969400,32715,148
186,99.150900,32650,148
187,99.741917,32225,148
188,100.331633,32424,148
189,100.922117,32422,148
190,101.511567,31752,147
193,103.276283,28590,143
194,103.858950,28787,143
196,105.023800,30920,146
197,105.607783,31935,148
199,106.786683,32900,149
200,107.368567,33381,149
201,107.956967,33463,150
202,108.546417,33366,149
203,109.136650,33678,150
205,110.308000,32955,148
206,110.897700,33194,149
207,111.486383,33247,149
208,112.067483,33337,149
210,113.238050,32706,148
212,114.408617,32678,148
213,114.996483,32562,148
214,115.587233,31775,147
216,116.762217,31586,147
217,117.350900,31616,146
218,117.942167,31908,147
219,118.530067,32139,147
220,119.118733,31813,147
221,119.708433,31643,147
222,120.298133,30770,145
223,120.882900,30794,145
224,121.471550,31148,146
225,122.061017,31812,146
227,123.238600,19504,124
229,124.416700,31990,147
231,125.587517,31613,146
232,126.172017,30271,145
235,127.939317,29472,143
238,129.705850,31486,146
240,130.885783,31056,146
241,131.475500,30848,145
242,132.066250,30163,144
243,132.656733,29006,143
244,133.246433,29384,144
246,134.420917,26652,140
249,136.186900,23327,136
273,150.333867,12864,124
315,175.068717,21151,137
344,192.136400,14533,125
350,195.672817,23537,138
351,196.263317,23604,138
355,198.621633,25388,141
356,199.211350,23862,139
357,199.801317,24418,139
364,203.929300,27617,144
366,205.100667,25324,141
