#Filenum,Time,flux,errFlux,weightMean,errWeightMean,ratio,ratioErr
148,13.242883,295368,395,30063.547870,48.755528,9.824789,0.020652
149,13.352333,298841,398,29830.128194,48.806906,10.018093,0.021135
150,13.462067,297064,396,30023.956184,48.852228,9.894232,0.020812
151,13.571267,301986,400,30073.224229,48.966107,10.041690,0.021077
152,13.680983,298867,397,29837.078070,48.485287,10.016631,0.021023
153,13.790433,301633,399,29620.336390,48.294984,10.183308,0.021381
154,13.900683,302904,400,29397.367732,48.099516,10.303780,0.021665
155,14.010400,302981,400,29673.842524,48.347035,10.210373,0.021411
156,14.119600,300310,398,29777.263089,48.195789,10.085212,0.021097
157,14.229317,301436,399,29675.052194,48.356186,10.157893,0.021325
158,14.338783,298280,397,29882.546237,48.365456,9.981746,0.020917
159,14.448500,302071,399,29698.435369,48.260289,10.171277,0.021300
160,14.557967,296302,395,29637.373197,48.304519,9.997580,0.021051
161,14.667167,299294,397,29694.864274,48.283553,10.078982,0.021150
162,14.776617,298207,396,29621.843073,47.987264,10.067132,0.021088
163,14.886350,295703,395,29739.032174,47.928023,9.943262,0.020814
164,14.996067,301006,398,29492.834845,47.875947,10.206072,0.021368
165,15.105517,306727,402,29572.687461,47.839178,10.371969,0.021594
166,15.215250,300058,397,29640.655491,47.930161,10.123190,0.021151
167,15.324700,298431,396,29700.896768,48.006444,10.047878,0.021013
168,15.433900,298243,396,29468.909004,47.879468,10.120599,0.021236
169,15.543367,295148,394,29725.901832,48.000264,9.928984,0.020802
170,15.652817,293551,393,29586.842349,47.932824,9.921674,0.020852
171,15.762283,296679,395,29398.074304,47.751636,10.091783,0.021195
172,15.871750,299068,397,29580.825879,47.893203,10.110198,0.021168
173,15.981200,295281,394,29554.477734,47.803043,9.991075,0.020949
174,16.090667,299146,397,29573.090766,47.847097,10.115480,0.021167
175,16.200383,298920,397,29268.992247,47.693365,10.212856,0.021469
176,16.310100,298193,396,29535.442159,47.792516,10.096108,0.021134
177,16.419300,249810,365,24317.481029,45.106447,10.272857,0.024257
178,16.529033,295423,394,29490.868448,47.851243,10.017440,0.021040
179,16.638233,293868,394,29375.462218,47.785276,10.003860,0.021088
180,16.747683,300565,398,29813.405394,48.028574,10.081539,0.021023
181,16.857400,298674,397,29552.433381,47.899860,10.106579,0.021185
182,16.967650,298696,397,29546.895820,47.872607,10.109218,0.021185
183,17.077100,300712,398,29700.975054,47.952866,10.124651,0.021137
190,17.843850,292768,393,24126.445475,44.894385,12.134734,0.027843
194,18.281683,295724,395,20843.690513,41.851161,14.187699,0.034214
195,18.390633,302413,399,21222.618044,42.074226,14.249561,0.033934
196,18.499567,291130,392,22725.444051,43.524905,12.810751,0.029992
197,18.608767,296702,395,22876.408696,43.511898,12.969781,0.030111
198,18.717967,300036,398,22793.009464,43.458835,13.163510,0.030575
199,18.827167,291553,392,23989.531941,44.483474,12.153343,0.027837
200,18.936117,304188,400,24397.842154,44.890464,12.467824,0.028196
201,19.045050,297091,396,24340.441070,44.914581,12.205654,0.027784
202,19.154767,299123,397,25211.509509,45.788054,11.864541,0.026688
203,19.264233,306453,402,25072.282454,45.596164,12.222780,0.027407
204,19.373433,294101,394,25640.130067,45.086219,11.470340,0.025356
205,19.482883,298661,397,25189.948630,45.740102,11.856356,0.026681
206,19.592350,298290,396,25265.424106,45.709500,11.806253,0.026493
