#file number,time from start,flux,flux error
27,0.000000,14630,126
28,0.109717,14479,127
29,0.219183,14542,127
30,0.328650,14677,126
31,0.438100,14386,126
32,0.547567,14503,127
33,0.657017,14391,129
34,0.766217,14514,128
35,0.875417,14431,127
36,0.984367,14767,128
37,1.094083,14704,125
38,1.203033,14244,124
39,1.311700,14807,125
40,1.420650,14478,124
42,1.638533,14685,125
43,1.747200,13990,123
44,1.856400,14409,124
45,1.965600,14659,125
46,2.075067,14638,125
47,2.184000,14967,125
48,2.293467,14475,124
49,2.402933,14591,125
50,2.512133,14562,124
51,2.621850,14425,124
52,2.731300,14517,124
53,2.840767,14330,124
54,2.950233,14585,124
55,3.059950,14652,124
56,3.169150,14833,125
57,3.278617,14363,124
58,3.388333,14774,125
59,3.497783,14646,125
60,3.607517,14701,125
61,3.716967,14504,124
62,3.826167,14675,125
100,7.989567,14728,125
101,8.098767,14341,124
102,8.208483,15063,126
103,8.317950,14691,125
104,8.427417,14708,125
105,8.536617,14867,125
106,8.645550,14513,124
107,8.754500,14657,125
108,8.863433,15235,129
109,8.972367,14612,126
110,9.082350,15081,125
111,9.191550,14937,125
112,9.300750,14720,125
113,9.410217,14561,124
114,9.519417,14880,125
115,9.628867,14947,125
116,9.738600,14573,124
117,9.848317,15032,125
118,9.957000,14766,125
119,10.066967,14950,125
120,10.176950,14580,125
121,10.286417,14500,124
122,10.396133,14670,125
123,10.505067,14979,125
124,10.614533,14666,124
125,10.724250,14837,125
126,10.833717,15040,125
127,10.943433,14742,124
128,11.053150,14984,125
129,11.162883,14809,125
130,11.272600,14935,125
131,11.382050,14579,124
132,11.491517,15147,126
133,11.600983,14156,123
134,11.710433,15178,126
135,11.819900,14851,125
136,11.929350,14600,125
137,12.038817,14637,124
138,12.148533,14644,125
139,12.257733,14653,125
140,12.367200,14661,125
141,12.476917,14569,125
142,12.586383,14642,125
143,12.695833,14686,125
144,12.805567,14254,124
145,12.915017,14478,126
146,13.024217,15442,128
147,13.133683,14881,125
148,13.242883,14835,127
149,13.352333,14870,128
150,13.462067,14861,128
151,13.571267,15003,128
152,13.680983,15018,127
153,13.790433,14698,126
154,13.900683,14633,126
155,14.010400,14440,126
156,14.119600,14385,125
157,14.229317,14911,126
158,14.338783,14571,126
159,14.448500,14711,126
160,14.557967,14618,126
161,14.667167,14576,126
162,14.776617,14609,125
163,14.886350,14792,125
164,14.996067,14642,125
165,15.105517,14592,124
166,15.215250,14692,125
167,15.324700,14773,125
168,15.433900,14967,125
169,15.543367,15206,126
170,15.652817,14696,125
171,15.762283,14578,124
172,15.871750,14474,124
173,15.981200,14522,124
174,16.090667,14614,124
175,16.200383,14464,124
176,16.310100,14462,124
177,16.419300,12517,120
178,16.529033,14738,125
179,16.638233,14508,124
180,16.747683,15186,126
181,16.857400,14861,125
182,16.967650,14781,125
183,17.077100,14702,125
190,17.843850,14596,124
194,18.281683,14858,125
195,18.390633,14770,125
196,18.499567,15033,126
197,18.608767,14962,126
198,18.717967,14776,125
199,18.827167,14580,125
200,18.936117,15254,126
201,19.045050,14379,125
202,19.154767,14889,126
203,19.264233,14455,125
204,19.373433,14717,125
205,19.482883,14917,126
206,19.592350,14505,125
207,19.702067,14709,125
208,19.811533,14480,125
209,19.920733,14638,125
210,20.030200,15068,126
211,20.139650,14371,125
212,20.248850,14925,126
213,20.358317,14514,125
214,20.467767,14326,124
215,20.577233,14811,125
216,20.686700,14632,125
217,20.796150,14799,125
218,20.905617,14613,125
219,21.014817,14569,125
220,21.124267,14562,125
221,21.233467,14729,125
222,21.343200,15093,126
223,21.452650,14551,125
224,21.561850,14697,125
225,21.671317,14896,125
226,21.781033,15011,126
227,21.890500,14903,125
228,22.000217,14881,125
229,22.109933,15117,125
230,22.219400,14952,126
231,22.328850,14818,125
232,22.438317,14779,125
233,22.547517,15000,126
234,22.656983,14608,125
235,22.766700,14945,125
236,22.876150,14775,125
237,22.985883,14521,125
238,23.095333,14858,125
239,23.204800,14736,125
240,23.314000,14899,125
241,23.423717,14336,124
242,23.532917,15068,126
243,23.642383,14627,125
244,23.751833,15137,126
245,23.861300,14888,125
246,23.970767,14551,125
247,24.079967,15013,125
248,24.189167,14899,125
249,24.298617,14407,124
250,24.408083,14759,125
251,24.517283,14949,125
252,24.627000,14624,125
253,24.736467,14738,125
254,24.845667,14782,125
255,24.955117,14813,128
256,25.064583,14238,124
257,25.174033,14763,124
258,25.283500,14276,123
259,25.393217,14814,125
260,25.502683,14697,125
261,25.612133,14772,125
262,25.721867,14414,124
263,25.831067,14656,124
264,25.940517,14556,124
265,26.050250,14631,124
266,26.159183,14774,125
267,26.268650,14675,125
268,26.378367,14704,125
269,26.487567,14889,125
270,26.597283,14647,125
271,26.707000,14738,126
272,26.816200,14668,126
273,26.925667,14732,128
274,27.035383,14969,128
275,27.144583,14620,127
276,27.254300,14800,126
277,27.363767,14851,126
278,27.472967,14368,126
279,27.582417,14935,127
280,27.692150,14657,126
281,27.801350,14913,127
282,27.911067,14614,126
283,28.020783,14646,127
284,28.130250,14506,126
285,28.239967,14816,127
286,28.349433,14557,127
287,28.458633,14685,128
288,28.568083,15124,129
289,28.677283,14857,128
290,28.786483,14472,128
291,28.895950,14767,128
292,29.005667,14827,128
293,29.115133,14825,128
294,29.224850,14689,128
295,29.334567,15103,129
296,29.444283,14967,128
297,29.553483,14977,127
298,29.662950,15230,128
299,29.772667,14685,127
300,29.881867,14696,127
301,29.991333,14855,127
302,30.101050,14963,128
303,30.210767,15028,127
304,30.320233,15033,128
305,30.429950,15077,126
306,30.539417,14535,125
307,30.648617,14852,125
308,30.758333,14840,125
309,30.867783,14777,125
310,30.977250,14810,125
311,31.086450,14654,125
312,31.195917,15013,126
313,31.305367,14677,125
314,31.414833,14962,125
315,31.523767,14734,125
316,31.632450,14904,125
317,31.741650,14669,125
318,31.851367,14697,125
319,31.961100,14789,125
320,32.070550,15322,126
321,32.180017,14817,125
322,32.289733,14953,125
323,32.399717,14490,125
324,32.509433,14524,125
325,32.618900,14665,125
326,32.728350,14692,125
327,32.837817,14959,126
328,32.947267,14621,125
329,33.057000,14736,125
330,33.166450,14771,125
331,33.275917,14543,125
332,33.385117,14943,126
333,33.494583,14826,125
334,33.603783,14846,125
335,33.713233,14500,124
336,33.822183,14634,125
337,33.931117,14841,125
338,34.040317,14560,125
339,34.149783,14527,125
340,34.259500,14911,125
341,34.368950,14734,125
342,34.478150,14590,125
343,34.587617,15023,126
344,34.697083,14981,126
345,34.806800,15335,126
346,34.916517,14495,125
347,35.025717,14873,125
348,35.135183,14608,125
349,35.244633,14601,125
350,35.353833,14900,125
351,35.463300,14825,125
352,35.572767,15117,126
353,35.681967,14256,124
354,35.791417,14940,125
355,35.900883,14279,124
356,36.010333,14828,125
357,36.119800,14947,125
358,36.229517,14734,125
359,36.338717,14783,125
360,36.448433,14883,126
361,36.558167,14847,125
362,36.668133,14838,125
363,36.777333,14830,125
364,36.887067,14751,125
365,36.996783,14742,125
366,37.106250,15103,126
367,37.215700,14923,125
368,37.325417,14759,125
369,37.434617,14417,124
370,37.544083,14715,124
371,37.653800,14782,124
372,37.763267,14440,123
373,37.872717,14611,124
374,37.982450,14944,125
375,38.091900,14537,125
376,38.201367,14467,125
377,38.311083,14951,126
378,38.420283,14824,125
379,38.530000,14473,125
