#file number,time from start,flux,flux error
27,0.000000,16335,129
28,0.109717,16400,131
29,0.219183,16466,130
30,0.328650,16922,131
31,0.438100,16577,130
32,0.547567,16991,132
33,0.657017,16474,133
34,0.766217,16579,132
35,0.875417,16438,131
36,0.984367,16801,132
37,1.094083,16299,128
38,1.203033,16372,128
39,1.311700,16871,129
40,1.420650,16680,129
42,1.638533,16225,128
43,1.747200,16585,128
44,1.856400,16235,128
45,1.965600,16590,129
46,2.075067,16507,129
47,2.184000,16382,128
48,2.293467,16978,129
49,2.402933,16528,128
50,2.512133,16663,128
51,2.621850,16329,128
52,2.731300,15987,127
53,2.840767,16578,128
54,2.950233,16514,128
55,3.059950,16699,129
56,3.169150,16590,129
57,3.278617,16220,128
58,3.388333,16456,128
59,3.497783,16494,128
60,3.607517,16557,128
61,3.716967,16695,128
62,3.826167,16717,129
100,7.989567,16884,129
101,8.098767,16371,128
102,8.208483,16057,128
103,8.317950,16558,128
104,8.427417,17004,129
105,8.536617,16809,129
106,8.645550,16072,127
107,8.754500,16470,128
108,8.863433,16747,132
109,8.972367,16533,129
110,9.082350,16440,128
111,9.191550,16455,128
112,9.300750,16736,128
113,9.410217,16528,128
114,9.519417,16486,128
115,9.628867,16392,128
116,9.738600,16349,128
117,9.848317,16857,129
118,9.957000,16387,128
119,10.066967,16554,128
120,10.176950,16535,128
121,10.286417,16356,128
122,10.396133,16480,128
123,10.505067,16316,128
124,10.614533,16382,128
125,10.724250,16337,128
126,10.833717,16446,128
127,10.943433,16326,128
128,11.053150,16710,128
129,11.162883,16750,129
130,11.272600,16593,128
131,11.382050,16625,128
132,11.491517,16140,127
133,11.600983,16608,128
134,11.710433,16203,128
135,11.819900,16762,129
136,11.929350,16390,128
137,12.038817,16337,128
138,12.148533,16463,128
139,12.257733,16313,128
140,12.367200,16518,128
141,12.476917,16463,128
142,12.586383,16323,128
143,12.695833,16203,128
144,12.805567,16508,128
145,12.915017,16380,129
146,13.024217,16853,131
147,13.133683,16931,129
148,13.242883,16651,131
149,13.352333,16499,131
150,13.462067,16817,131
151,13.571267,16778,132
152,13.680983,16520,130
153,13.790433,16583,130
154,13.900683,16608,129
155,14.010400,16664,130
156,14.119600,16575,129
157,14.229317,16452,130
158,14.338783,16396,129
159,14.448500,16294,129
160,14.557967,16598,130
161,14.667167,16477,129
162,14.776617,16450,128
163,14.886350,16537,128
164,14.996067,16113,128
165,15.105517,16329,128
166,15.215250,16623,128
167,15.324700,16647,129
168,15.433900,16109,128
169,15.543367,16372,128
170,15.652817,16386,128
171,15.762283,16477,128
172,15.871750,16433,128
173,15.981200,16401,128
174,16.090667,16290,128
175,16.200383,15793,127
176,16.310100,16587,128
177,16.419300,10334,116
178,16.529033,16737,129
179,16.638233,16313,128
180,16.747683,16597,128
181,16.857400,16183,128
182,16.967650,16423,128
183,17.077100,16600,128
190,17.843850,453,92
194,18.281683,201,71
195,18.390633,733,72
196,18.499567,1453,81
197,18.608767,1625,80
198,18.717967,1497,80
199,18.827167,2012,87
200,18.936117,2078,89
201,19.045050,2196,90
202,19.154767,2202,97
203,19.264233,2135,96
204,19.373433,6658,92
205,19.482883,2225,97
206,19.592350,2170,97
207,19.702067,5713,89
208,19.811533,5490,90
209,19.920733,10069,101
210,20.030200,11830,106
211,20.139650,13369,116
212,20.248850,15911,122
213,20.358317,16347,124
214,20.467767,16341,125
215,20.577233,16205,127
216,20.686700,16079,128
217,20.796150,16374,128
218,20.905617,16273,128
219,21.014817,15885,128
220,21.124267,16119,128
221,21.233467,16305,128
222,21.343200,16731,129
223,21.452650,16147,128
224,21.561850,16708,129
225,21.671317,16069,128
226,21.781033,16388,129
227,21.890500,16322,128
228,22.000217,16651,129
229,22.109933,15998,127
230,22.219400,16590,129
231,22.328850,16208,128
232,22.438317,16582,129
233,22.547517,16197,128
234,22.656983,16134,128
235,22.766700,15968,128
236,22.876150,16177,128
237,22.985883,16190,128
238,23.095333,16264,128
239,23.204800,16566,129
240,23.314000,16355,128
241,23.423717,16401,128
242,23.532917,16300,128
243,23.642383,16268,128
244,23.751833,16439,129
245,23.861300,16466,128
246,23.970767,16923,129
247,24.079967,16496,128
248,24.189167,16622,129
249,24.298617,16637,128
250,24.408083,16463,128
251,24.517283,16787,129
252,24.627000,16514,128
253,24.736467,16448,128
254,24.845667,16258,128
255,24.955117,16641,131
256,25.064583,16629,129
257,25.174033,16484,128
258,25.283500,16389,127
259,25.393217,16853,129
260,25.502683,16437,128
261,25.612133,16144,127
262,25.721867,16869,129
263,25.831067,16704,128
264,25.940517,16419,128
265,26.050250,16641,128
266,26.159183,16524,128
267,26.268650,16320,128
268,26.378367,16127,127
269,26.487567,16825,129
270,26.597283,16351,128
271,26.707000,16840,130
272,26.816200,16179,129
273,26.925667,16278,131
274,27.035383,16607,131
275,27.144583,16687,131
276,27.254300,16468,129
277,27.363767,16059,129
278,27.472967,16311,129
279,27.582417,16232,130
280,27.692150,16433,130
281,27.801350,16804,131
282,27.911067,16768,130
283,28.020783,16682,131
284,28.130250,16373,129
285,28.239967,16595,131
286,28.349433,16491,131
287,28.458633,16869,132
288,28.568083,16547,132
289,28.677283,16740,132
290,28.786483,16559,132
291,28.895950,16565,132
292,29.005667,16263,131
293,29.115133,16231,131
294,29.224850,3966,86
295,29.334567,4578,87
296,29.444283,5767,90
297,29.553483,6807,93
298,29.662950,11418,106
299,29.772667,14036,115
300,29.881867,16174,126
301,29.991333,16383,128
302,30.101050,16439,129
303,30.210767,16697,130
304,30.320233,16645,131
305,30.429950,16555,129
306,30.539417,16623,129
307,30.648617,16535,129
308,30.758333,16659,129
309,30.867783,16907,129
310,30.977250,16718,129
311,31.086450,16473,129
312,31.195917,16487,129
313,31.305367,16459,129
314,31.414833,16615,129
315,31.523767,16553,129
316,31.632450,16370,128
317,31.741650,16010,128
318,31.851367,16308,128
319,31.961100,16178,128
320,32.070550,16691,129
321,32.180017,16757,129
322,32.289733,16394,128
323,32.399717,16021,128
324,32.509433,15880,127
325,32.618900,16519,129
326,32.728350,16337,128
327,32.837817,16216,128
328,32.947267,16167,128
329,33.057000,16319,128
330,33.166450,16516,129
331,33.275917,16608,129
332,33.385117,16108,128
333,33.494583,16819,129
334,33.603783,16425,129
335,33.713233,16464,128
336,33.822183,16733,129
337,33.931117,16743,129
338,34.040317,16149,128
339,34.149783,16428,128
340,34.259500,16485,128
341,34.368950,16384,128
342,34.478150,16027,128
343,34.587617,16287,128
344,34.697083,16744,129
345,34.806800,15934,128
346,34.916517,16403,128
347,35.025717,16193,128
348,35.135183,16718,129
349,35.244633,16746,129
350,35.353833,16621,129
351,35.463300,16526,129
352,35.572767,16002,128
353,35.681967,16476,129
354,35.791417,16188,128
355,35.900883,16603,129
356,36.010333,16497,129
357,36.119800,16384,128
358,36.229517,16027,128
359,36.338717,16669,129
360,36.448433,16198,128
361,36.558167,16262,128
362,36.668133,16533,128
363,36.777333,16559,129
364,36.887067,16485,128
365,36.996783,16880,129
366,37.106250,16357,128
367,37.215700,16165,128
368,37.325417,16419,128
369,37.434617,16414,128
370,37.544083,16229,127
371,37.653800,16590,128
372,37.763267,16472,127
373,37.872717,16287,128
374,37.982450,16806,129
375,38.091900,16593,129
376,38.201367,16656,129
377,38.311083,16491,129
378,38.420283,16568,129
379,38.530000,16629,129
380,38.639467,16044,128
381,38.749183,15951,128
382,38.858650,16721,129
383,38.968367,1954,96
384,39.078083,2113,97
385,39.187550,2116,97
386,39.297267,3216,81
387,39.406983,5895,89
388,39.516700,6584,91
389,39.625900,11296,105
390,39.735633,13389,111
391,39.845083,14544,115
392,39.954283,15345,118
393,40.064000,15865,122
394,40.173467,15874,122
395,40.282933,15895,125
396,40.392383,16173,128
397,40.502100,16300,128
398,40.611567,16243,128
399,40.721283,16155,128
400,40.830750,16121,128
401,40.940217,16349,128
402,41.049667,16306,128
403,41.159383,16464,129
404,41.268583,16350,129
405,41.378050,16110,128
406,41.487517,16606,129
407,41.596967,16555,129
408,41.706433,16385,129
409,41.816150,16449,129
410,41.925617,16536,129
411,42.035067,16533,129
412,42.144533,16160,128
413,42.253467,16295,128
414,42.363183,16185,128
415,42.472917,16206,128
