#file number,time from start,flux,flux error
27,0.000000,26519,147
28,0.109717,26254,148
29,0.219183,25202,146
30,0.328650,26255,147
31,0.438100,26312,147
32,0.547567,25867,148
33,0.657017,25672,149
34,0.766217,25736,148
35,0.875417,26162,148
36,0.984367,25956,149
37,1.094083,26150,146
38,1.203033,26200,146
39,1.311700,26115,146
40,1.420650,25699,145
42,1.638533,25914,145
43,1.747200,26130,146
44,1.856400,26239,146
45,1.965600,26752,147
46,2.075067,26457,147
47,2.184000,25926,145
48,2.293467,26213,146
49,2.402933,26446,146
50,2.512133,25533,145
51,2.621850,25598,145
52,2.731300,26332,146
53,2.840767,26224,146
54,2.950233,26443,146
55,3.059950,26183,146
56,3.169150,26184,146
57,3.278617,26242,146
58,3.388333,25608,145
59,3.497783,25435,145
60,3.607517,25822,145
61,3.716967,25786,145
62,3.826167,25805,145
100,7.989567,26183,146
101,8.098767,25955,146
102,8.208483,25619,145
103,8.317950,26347,146
104,8.427417,26551,146
105,8.536617,26567,147
106,8.645550,25917,145
107,8.754500,26479,147
108,8.863433,26111,148
109,8.972367,26111,147
110,9.082350,26411,146
111,9.191550,25579,145
112,9.300750,25918,145
113,9.410217,26427,146
114,9.519417,26396,146
115,9.628867,26077,146
116,9.738600,25981,145
117,9.848317,26540,146
118,9.957000,25883,145
119,10.066967,25864,145
120,10.176950,26056,146
121,10.286417,26237,146
122,10.396133,26421,146
123,10.505067,25894,145
124,10.614533,25993,145
125,10.724250,26346,146
126,10.833717,26355,146
127,10.943433,25819,145
128,11.053150,26414,146
129,11.162883,26017,145
130,11.272600,26679,147
131,11.382050,25974,145
132,11.491517,25602,145
133,11.600983,25906,145
134,11.710433,26656,147
135,11.819900,26388,146
136,11.929350,26072,146
137,12.038817,25708,145
138,12.148533,26182,146
139,12.257733,25926,145
140,12.367200,26243,146
141,12.476917,26455,147
142,12.586383,26330,146
143,12.695833,26225,146
144,12.805567,25707,145
145,12.915017,25925,147
146,13.024217,25987,147
147,13.133683,25962,145
148,13.242883,26480,148
149,13.352333,25820,148
150,13.462067,26712,149
151,13.571267,26571,149
152,13.680983,26250,147
153,13.790433,25780,146
154,13.900683,26144,147
155,14.010400,26255,147
156,14.119600,26755,147
157,14.229317,25930,147
158,14.338783,25656,146
159,14.448500,26588,147
160,14.557967,26078,147
161,14.667167,25886,146
162,14.776617,25907,146
163,14.886350,26318,146
164,14.996067,25131,144
165,15.105517,26053,145
166,15.215250,26712,147
167,15.324700,26400,146
168,15.433900,26015,146
169,15.543367,25883,145
170,15.652817,25998,146
171,15.762283,25276,144
172,15.871750,26460,146
173,15.981200,25877,145
174,16.090667,25997,145
175,16.200383,25471,144
176,16.310100,26217,145
177,16.419300,20842,136
178,16.529033,25958,145
179,16.638233,25701,145
180,16.747683,26322,146
181,16.857400,26307,146
182,16.967650,25872,145
183,17.077100,25713,145
190,17.843850,25947,145
194,18.281683,25743,145
195,18.390633,25632,145
196,18.499567,25221,145
197,18.608767,25779,145
198,18.717967,25672,145
199,18.827167,26061,146
200,18.936117,26564,147
201,19.045050,25180,145
202,19.154767,26077,146
203,19.264233,25650,145
204,19.373433,25489,145
205,19.482883,25961,146
206,19.592350,25879,146
207,19.702067,25960,146
208,19.811533,25129,145
209,19.920733,25763,146
210,20.030200,25303,144
211,20.139650,25147,145
212,20.248850,26201,146
213,20.358317,25831,146
214,20.467767,26172,146
215,20.577233,25695,145
216,20.686700,25725,145
217,20.796150,25994,146
218,20.905617,26286,146
219,21.014817,25668,145
220,21.124267,26255,146
221,21.233467,25704,145
222,21.343200,26464,147
223,21.452650,25720,145
224,21.561850,26236,146
225,21.671317,25952,146
226,21.781033,25749,146
227,21.890500,25392,145
228,22.000217,26642,147
229,22.109933,26021,146
230,22.219400,26326,146
231,22.328850,26329,146
232,22.438317,25599,145
233,22.547517,25477,145
234,22.656983,26018,146
235,22.766700,25683,145
236,22.876150,26119,146
237,22.985883,25635,145
238,23.095333,25978,146
239,23.204800,26004,146
240,23.314000,26104,146
241,23.423717,26348,147
242,23.532917,26283,146
243,23.642383,25860,146
244,23.751833,25870,146
245,23.861300,26106,146
246,23.970767,26525,147
247,24.079967,25980,145
248,24.189167,25987,146
249,24.298617,26471,146
250,24.408083,26619,147
251,24.517283,26344,146
252,24.627000,26243,146
253,24.736467,25991,145
254,24.845667,26226,146
255,24.955117,25757,148
256,25.064583,24830,144
257,25.174033,25762,145
258,25.283500,26545,146
259,25.393217,26179,146
260,25.502683,26060,146
261,25.612133,25621,145
262,25.721867,26089,145
263,25.831067,26600,146
264,25.940517,25965,145
265,26.050250,25767,145
266,26.159183,25582,145
267,26.268650,25557,145
268,26.378367,25807,145
269,26.487567,25884,145
270,26.597283,25775,145
271,26.707000,26244,147
272,26.816200,25845,147
273,26.925667,26133,149
274,27.035383,26402,148
275,27.144583,26400,148
276,27.254300,26084,146
277,27.363767,25452,146
278,27.472967,26026,147
279,27.582417,26464,148
280,27.692150,26089,147
281,27.801350,26689,148
282,27.911067,25819,147
283,28.020783,25963,147
284,28.130250,26227,147
285,28.239967,26508,148
286,28.349433,26375,149
287,28.458633,26123,149
288,28.568083,25277,147
289,28.677283,27248,150
290,28.786483,26016,148
291,28.895950,27185,150
292,29.005667,26259,149
293,29.115133,26298,149
294,29.224850,26226,149
295,29.334567,25771,148
296,29.444283,26497,149
297,29.553483,25792,147
298,29.662950,26653,149
299,29.772667,26046,148
300,29.881867,25468,147
301,29.991333,25888,147
302,30.101050,25756,147
303,30.210767,26039,147
304,30.320233,26508,148
305,30.429950,26406,147
306,30.539417,26232,146
307,30.648617,26419,146
308,30.758333,26573,147
309,30.867783,25898,146
310,30.977250,26335,146
311,31.086450,25804,146
312,31.195917,26802,147
313,31.305367,25452,145
314,31.414833,26648,147
315,31.523767,26016,146
316,31.632450,25779,145
317,31.741650,25979,146
318,31.851367,25919,146
319,31.961100,26213,146
320,32.070550,25804,146
321,32.180017,26072,146
322,32.289733,25561,145
323,32.399717,26031,146
324,32.509433,26662,147
325,32.618900,25649,145
326,32.728350,26603,147
327,32.837817,26180,146
328,32.947267,26114,146
329,33.057000,26354,146
330,33.166450,26590,147
331,33.275917,26030,146
332,33.385117,25809,146
333,33.494583,26295,146
334,33.603783,25966,146
335,33.713233,25871,145
336,33.822183,26014,146
337,33.931117,26278,146
338,34.040317,25612,145
339,34.149783,25444,145
340,34.259500,26161,146
341,34.368950,25925,146
342,34.478150,26085,146
343,34.587617,25609,145
344,34.697083,27066,148
345,34.806800,25671,145
346,34.916517,25776,145
347,35.025717,26774,147
348,35.135183,26143,146
349,35.244633,25409,145
350,35.353833,25970,146
351,35.463300,25942,146
352,35.572767,25584,145
