
Nov 12 20:03 [nebula_avg.cal.fits[*,1,1]]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  4707.851 8.109E-14 2.190E-11    -270.1 6.257E-12     3.288        0.
  4707.862 1.196E-13 2.163E-11    -180.9 6.226E-12     3.264        0.
  4681.904 6.367E-14 1.727E-10    -2712. 5.912E-11     2.744        0.
  4681.906 1.529E-13 1.721E-10    -1126. 5.906E-11     2.738        0.
  4681.906 3.281E-13 1.711E-10    -521.4 5.893E-11     2.727        0.
  4362.253 -4.63E-14 4.504E-11     INDEF 1.272E-11     3.326        0.
  4362.259 -1.83E-15 4.471E-11     INDEF 1.269E-11      3.31        0.
  4362.233 -3.66E-15 4.469E-11     INDEF 1.268E-11      3.31        0.
  4339.931 2.389E-13 1.069E-10    -447.7 3.459E-11     2.905        0.
  4339.931 2.389E-13 1.069E-10    -447.7 3.459E-11     2.905        0.
  4339.935 3.323E-13 1.064E-10    -320.1 3.452E-11     2.895        0.
  4339.926 1.460E-13 1.075E-10    -736.5 3.466E-11     2.914        0.

Nov 21 10:45 [nebula_avg.cal.fits[*,1,1]]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  5006.653 4.195E-15 3.8943E-9  -928296. 1.2539E-9     2.918        0.
  5006.641 2.069E-12 3.8819E-9    -1876. 1.2522E-9     2.912        0.
  5006.641 2.799E-12 3.8770E-9    -1385. 1.2519E-9     2.909        0.
  4957.888 4.711E-14 1.3189E-9   -27993. 4.310E-10     2.875        0.
  4957.889 4.541E-14 1.3189E-9   -29043. 4.310E-10     2.875        0.
   4957.89 7.134E-13 1.3146E-9    -1843. 4.305E-10     2.868        0.
  4957.888 4.921E-14 1.3189E-9   -26799. 4.310E-10     2.875        0.
  4362.255 1.150E-13 4.163E-11    -362.1 1.195E-11     3.271        0.
  4362.262 5.708E-14 4.201E-11    -735.9 1.200E-11     3.287        0.
  4362.254 5.440E-14 4.205E-11    -772.9 1.200E-11     3.292        0.
  4339.935 1.153E-13 9.713E-11    -842.1 3.129E-11     2.916        0.
  4339.932 5.091E-14 9.753E-11    -1916. 3.134E-11     2.924        0.
  4339.938 5.919E-14 9.749E-11    -1647. 3.133E-11     2.924        0.
  4339.938 5.845E-14 9.750E-11    -1668. 3.133E-11     2.924        0.

Nov 21 13:40 [nebula_avg.cal.fits[*,1,1]]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  4909.992 2.166E-15 6.748E-12    -3115. 5.402E-13     11.74        0.
  4920.214 2.166E-15 3.968E-12    -1832. 7.575E-13     4.921        0.
  4932.137 2.166E-15 3.879E-12    -1791. 5.457E-13     6.678        0.
  4909.975 -3.62E-15 6.876E-12     INDEF 5.455E-13     11.84        0.
  4920.219 -1.51E-15 3.977E-12     INDEF 7.583E-13     4.927        0.
  4932.129 9.385E-16 3.903E-12    -4159. 5.458E-13     6.718        0.
  4909.994 -1.15E-15 6.826E-12     INDEF 5.429E-13     11.81        0.
  4920.219 -1.15E-15 3.977E-12     INDEF 7.583E-13     4.927        0.
  4932.136 -1.15E-15 3.939E-12     INDEF 5.467E-13     6.768        0.
  4803.325 -7.40E-16 9.006E-12     INDEF 5.625E-13     15.04        0.
  4825.049 -7.40E-16 8.174E-12     INDEF 5.488E-13     13.99        0.
   4842.18 -7.40E-16 6.556E-12     INDEF 5.024E-13     12.26        0.
  4803.396 -7.40E-16 8.840E-12     INDEF 5.648E-13      14.7        0.
  4825.021 -7.40E-16 8.259E-12     INDEF 5.483E-13     14.15        0.
  4842.203 -7.40E-16 6.525E-12     INDEF 5.017E-13     12.22        0.
  4803.335 -1.01E-15 9.024E-12     INDEF 5.625E-13     15.07        0.
  4825.033 -1.84E-15 8.181E-12     INDEF 5.500E-13     13.97        0.
  4842.189 -2.49E-15 6.610E-12     INDEF 5.038E-13     12.33        0.
